1715353443.874458 server started (3146062): version 2.6, socket /tmp/tmux-1000/default, protocol 8
1715353443.874506 on Linux 5.4.0-155-generic #172-Ubuntu SMP Fri Jul 7 16:10:02 UTC 2023; libevent 2.1.8-stable (poll)
1715353443.875301 add peer 0x564c020cf680: 8 (0x564c020cee30)
1715353443.875313 new client 0x564c020cee30
1715353443.875356 loading /etc/tmux.conf
1715353443.875426 loading /home/irteam/.tmux.conf
1715353443.875447 server loop enter
1715353443.875593 peer 0x564c020cf680 message 100
1715353443.875597 client 0x564c020cee30 IDENTIFY_FLAGS 0x10000
1715353443.875602 peer 0x564c020cf680 message 101
1715353443.875605 client 0x564c020cee30 IDENTIFY_TERM xterm-256color
1715353443.875608 peer 0x564c020cf680 message 102
1715353443.875611 client 0x564c020cee30 IDENTIFY_TTYNAME /dev/pts/25
1715353443.875614 peer 0x564c020cf680 message 108
1715353443.875623 client 0x564c020cee30 IDENTIFY_CWD /home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.875626 peer 0x564c020cf680 message 104
1715353443.875628 client 0x564c020cee30 IDENTIFY_STDIN 6
1715353443.875632 cmdq_next <global>: enter
1715353443.875636 cmdq_next <global>: command[bind-key] (0), flags 0
1715353443.886921 xterm-256color 194: smacs: (string) \\033(0
1715353443.886924 xterm-256color 195: smcup: (string) \\033[?1049h\\033[22;0;0t
1715353443.886927 xterm-256color 196: smkx: (string) \\033[?1h\\033=
1715353443.886930 xterm-256color 197: smso: (string) \\033[7m
1715353443.886933 xterm-256color 198: smul: (string) \\033[4m
1715353443.886936 xterm-256color 199: smxx: (string) \\033[9m
1715353443.886939 xterm-256color 200: Ss: (string) \\033[%p1%d q
1715353443.886941 xterm-256color 201: Tc: [missing]
1715353443.886944 xterm-256color 202: tsl: (string) \\033]0;
1715353443.886947 xterm-256color 203: U8: [missing]
1715353443.886950 xterm-256color 204: vpa: (string) \\033[%i%p1%dd
1715353443.886953 xterm-256color 205: xenl: (flag) true
1715353443.886955 xterm-256color 206: XT: (flag) true
1715353443.886975 /dev/pts/25: \033[?1049h\033[22;0;0t
1715353443.886978 /dev/pts/25: \033[?1h\033=
1715353443.886981 /dev/pts/25: \033[H\033[2J
1715353443.886984 /dev/pts/25: using UTF-8 for ACS
1715353443.886986 /dev/pts/25: \033[?12l\033[?25h
1715353443.886989 /dev/pts/25: \033[?1000l\033[?1002l\033[?1006l\033[?1005l
1715353443.886991 /dev/pts/25: \033[c
1715353443.886994 /dev/pts/25: \033(B\033[m
1715353443.886997 /dev/pts/25: \033[?12;25h
1715353443.887000 /dev/pts/25: \033[?12l\033[?25h
1715353443.887002 /dev/pts/25: \033[?1003l
1715353443.887005 /dev/pts/25: \033[?1006l
1715353443.887007 /dev/pts/25: \033[?2004l
1715353443.887013 /dev/pts/25: \033[1;1H
1715353443.887016 /dev/pts/25: \033[1;22r
1715353443.887019 /dev/pts/25: \033]112\a
1715353443.887023 new key \033Oo: 0x1000005d (KP/)
1715353443.887026 new key \033Oj: 0x1000005e (KP*)
1715353443.887029 new key \033Om: 0x1000005f (KP-)
1715353443.887032 new key \033Ow: 0x10000060 (KP7)
1715353443.887034 new key \033Ox: 0x10000061 (KP8)
1715353443.887037 new key \033Oy: 0x10000062 (KP9)
1715353443.887039 new key \033Ok: 0x10000063 (KP+)
1715353443.887042 new key \033Ot: 0x10000064 (KP4)
1715353443.887045 new key \033Ou: 0x10000065 (KP5)
1715353443.887047 new key \033Ov: 0x10000066 (KP6)
1715353443.887050 new key \033Oq: 0x10000067 (KP1)
1715353443.887053 new key \033Or: 0x10000068 (KP2)
1715353443.887056 new key \033Os: 0x10000069 (KP3)
1715353443.887793 new key \033OM: 0x1000006a (KPEnter)
1715353443.888261 new key \033Op: 0x1000006b (KP0)
1715353443.888264 new key \033On: 0x1000006c (KP.)
1715353443.888267 new key \033OA: 0x10000059 (Up)
1715353443.888270 new key \033OB: 0x1000005a (Down)
1715353443.888273 new key \033OC: 0x1000005c (Right)
1715353443.888275 new key \033OD: 0x1000005b (Left)
1715353443.888278 new key \033[A: 0x10000059 (Up)
1715353443.888281 new key \033[B: 0x1000005a (Down)
1715353443.888283 new key \033[C: 0x1000005c (Right)
1715353443.888286 new key \033[D: 0x1000005b (Left)
1715353443.888289 new key \033OH: 0x10000054 (Home)
1715353443.888292 new key \033OF: 0x10000055 (End)
1715353443.888300 new key \033[H: 0x10000054 (Home)
1715353443.888302 new key \033[F: 0x10000055 (End)
1715353443.888305 new key \033Oa: 0x400010000059 (C-Up)
1715353443.888308 new key \033Ob: 0x40001000005a (C-Down)
1715353443.888311 new key \033Oc: 0x40001000005c (C-Right)
1715353443.888314 new key \033Od: 0x40001000005b (C-Left)
1715353443.888318 new key \033[a: 0x800010000059 (S-Up)
1715353443.888323 new key \033[b: 0x80001000005a (S-Down)
1715353443.888325 new key \033[c: 0x80001000005c (S-Right)
1715353443.888329 new key \033[d: 0x80001000005b (S-Left)
1715353443.888332 new key \033[11^: 0x400010000046 (C-F1)
1715353443.888335 new key \033[12^: 0x400010000047 (C-F2)
1715353443.888338 new key \033[13^: 0x400010000048 (C-F3)
1715353443.888341 new key \033[14^: 0x400010000049 (C-F4)
1715353443.888344 new key \033[15^: 0x40001000004a (C-F5)
1715353443.888347 new key \033[17^: 0x40001000004b (C-F6)
1715353443.888349 new key \033[18^: 0x40001000004c (C-F7)
1715353443.888352 new key \033[19^: 0x40001000004d (C-F8)
1715353443.888355 new key \033[20^: 0x40001000004e (C-F9)
1715353443.888358 new key \033[21^: 0x40001000004f (C-F10)
1715353443.888361 new key \033[23^: 0x400010000050 (C-F11)
1715353443.888364 new key \033[24^: 0x400010000051 (C-F12)
1715353443.888367 new key \033[2^: 0x400010000052 (C-IC)
1715353443.888370 new key \033[3^: 0x400010000053 (C-DC)
1715353443.888372 new key \033[7^: 0x400010000054 (C-Home)
1715353443.888375 new key \033[8^: 0x400010000055 (C-End)
1715353443.888378 new key \033[6^: 0x400010000056 (C-NPage)
1715353443.888381 new key \033[5^: 0x400010000057 (C-PPage)
1715353443.888384 new key \033[11$: 0x800010000046 (S-F1)
1715353443.888387 new key \033[12$: 0x800010000047 (S-F2)
1715353443.888390 new key \033[13$: 0x800010000048 (S-F3)
1715353443.888392 new key \033[14$: 0x800010000049 (S-F4)
1715353443.888395 new key \033[15$: 0x80001000004a (S-F5)
1715353443.888397 new key \033[17$: 0x80001000004b (S-F6)
1715353443.888400 new key \033[18$: 0x80001000004c (S-F7)
1715353443.888403 new key \033[19$: 0x80001000004d (S-F8)
1715353443.888406 new key \033[20$: 0x80001000004e (S-F9)
1715353443.888409 new key \033[21$: 0x80001000004f (S-F10)
1715353443.888412 new key \033[23$: 0x800010000050 (S-F11)
1715353443.888415 new key \033[24$: 0x800010000051 (S-F12)
1715353443.888417 new key \033[2$: 0x800010000052 (S-IC)
1715353443.888420 new key \033[3$: 0x800010000053 (S-DC)
1715353443.888423 new key \033[7$: 0x800010000054 (S-Home)
1715353443.888426 new key \033[8$: 0x800010000055 (S-End)
1715353443.888429 new key \033[6$: 0x800010000056 (S-NPage)
1715353443.888432 new key \033[5$: 0x800010000057 (S-PPage)
1715353443.888435 new key \033[11@: 0xc00010000046 (C-S-F1)
1715353443.888438 new key \033[12@: 0xc00010000047 (C-S-F2)
1715353443.888441 new key \033[13@: 0xc00010000048 (C-S-F3)
1715353443.888443 new key \033[14@: 0xc00010000049 (C-S-F4)
1715353443.888446 new key \033[15@: 0xc0001000004a (C-S-F5)
1715353443.888449 new key \033[17@: 0xc0001000004b (C-S-F6)
1715353443.888452 new key \033[18@: 0xc0001000004c (C-S-F7)
1715353443.888455 new key \033[19@: 0xc0001000004d (C-S-F8)
1715353443.888458 new key \033[20@: 0xc0001000004e (C-S-F9)
1715353443.888461 new key \033[21@: 0xc0001000004f (C-S-F10)
1715353443.888463 new key \033[23@: 0xc00010000050 (C-S-F11)
1715353443.888466 new key \033[24@: 0xc00010000051 (C-S-F12)
1715353443.888469 new key \033[2@: 0xc00010000052 (C-S-IC)
1715353443.888472 new key \033[3@: 0xc00010000053 (C-S-DC)
1715353443.888475 new key \033[7@: 0xc00010000054 (C-S-Home)
1715353443.888478 new key \033[8@: 0xc00010000055 (C-S-End)
1715353443.888481 new key \033[6@: 0xc00010000056 (C-S-NPage)
1715353443.888484 new key \033[5@: 0xc00010000057 (C-S-PPage)
1715353443.888487 new key \033[I: 0x10000000 (FocusIn)
1715353443.888490 new key \033[O: 0x10000001 (FocusOut)
1715353443.888493 new key \033[200~: 0x10000002 (PasteStart)
1715353443.888496 new key \033[201~: 0x10000003 (PasteEnd)
1715353443.888499 new key \033OP: 0x10000046 (F1)
1715353443.888502 new key \033OQ: 0x10000047 (F2)
1715353443.888508 new key \033OR: 0x10000048 (F3)
1715353443.888511 new key \033OS: 0x10000049 (F4)
1715353443.888513 new key \033[15~: 0x1000004a (F5)
1715353443.888516 new key \033[17~: 0x1000004b (F6)
1715353443.888519 new key \033[18~: 0x1000004c (F7)
1715353443.888521 new key \033[19~: 0x1000004d (F8)
1715353443.888524 new key \033[20~: 0x1000004e (F9)
1715353443.888527 new key \033[21~: 0x1000004f (F10)
1715353443.888530 new key \033[23~: 0x10000050 (F11)
1715353443.888532 new key \033[24~: 0x10000051 (F12)
1715353443.888536 new key \033[1;2P: 0x800010000046 (S-F1)
1715353443.888539 new key \033[1;2Q: 0x800010000047 (S-F2)
1715353443.888542 new key \033[1;2R: 0x800010000048 (S-F3)
1715353443.888544 new key \033[1;2S: 0x800010000049 (S-F4)
1715353443.888548 new key \033[15;2~: 0x80001000004a (S-F5)
1715353443.888551 new key \033[17;2~: 0x80001000004b (S-F6)
1715353443.888554 new key \033[18;2~: 0x80001000004c (S-F7)
1715353443.888557 new key \033[19;2~: 0x80001000004d (S-F8)
1715353443.888560 new key \033[20;2~: 0x80001000004e (S-F9)
1715353443.888563 new key \033[21;2~: 0x80001000004f (S-F10)
1715353443.888566 new key \033[23;2~: 0x800010000050 (S-F11)
1715353443.888569 new key \033[24;2~: 0x800010000051 (S-F12)
1715353443.888572 new key \033[1;5P: 0x400010000046 (C-F1)
1715353443.888576 new key \033[1;5Q: 0x400010000047 (C-F2)
1715353443.888579 new key \033[1;5R: 0x400010000048 (C-F3)
1715353443.888582 new key \033[1;5S: 0x400010000049 (C-F4)
1715353443.888584 new key \033[15;5~: 0x40001000004a (C-F5)
1715353443.888587 new key \033[17;5~: 0x40001000004b (C-F6)
1715353443.888590 new key \033[18;5~: 0x40001000004c (C-F7)
1715353443.888593 new key \033[19;5~: 0x40001000004d (C-F8)
1715353443.888596 new key \033[20;5~: 0x40001000004e (C-F9)
1715353443.888599 new key \033[21;5~: 0x40001000004f (C-F10)
1715353443.888602 new key \033[23;5~: 0x400010000050 (C-F11)
1715353443.888605 new key \033[24;5~: 0x400010000051 (C-F12)
1715353443.888608 new key \033[1;6P: 0xc00010000046 (C-S-F1)
1715353443.888611 new key \033[1;6Q: 0xc00010000047 (C-S-F2)
1715353443.888614 new key \033[1;6R: 0xc00010000048 (C-S-F3)
1715353443.888617 new key \033[1;6S: 0xc00010000049 (C-S-F4)
1715353443.888620 new key \033[15;6~: 0xc0001000004a (C-S-F5)
1715353443.888623 new key \033[17;6~: 0xc0001000004b (C-S-F6)
1715353443.888626 new key \033[18;6~: 0xc0001000004c (C-S-F7)
1715353443.888629 new key \033[19;6~: 0xc0001000004d (C-S-F8)
1715353443.888632 new key \033[20;6~: 0xc0001000004e (C-S-F9)
1715353443.888635 new key \033[21;6~: 0xc0001000004f (C-S-F10)
1715353443.888638 new key \033[23;6~: 0xc00010000050 (C-S-F11)
1715353443.888641 new key \033[24;6~: 0xc00010000051 (C-S-F12)
1715353443.888644 new key \033[1;3P: 0x200010000046 (M-F1)
1715353443.888647 new key \033[1;3Q: 0x200010000047 (M-F2)
1715353443.888650 new key \033[1;3R: 0x200010000048 (M-F3)
1715353443.888653 new key \033[1;3S: 0x200010000049 (M-F4)
1715353443.888656 new key \033[15;3~: 0x20001000004a (M-F5)
1715353443.888659 new key \033[17;3~: 0x20001000004b (M-F6)
1715353443.888662 new key \033[18;3~: 0x20001000004c (M-F7)
1715353443.888665 new key \033[19;3~: 0x20001000004d (M-F8)
1715353443.888668 new key \033[20;3~: 0x20001000004e (M-F9)
1715353443.888671 new key \033[21;3~: 0x20001000004f (M-F10)
1715353443.888674 new key \033[23;3~: 0x200010000050 (M-F11)
1715353443.888677 new key \033[24;3~: 0x200010000051 (M-F12)
1715353443.888680 new key \033[1;4P: 0xa00010000046 (M-S-F1)
1715353443.888683 new key \033[1;4Q: 0xa00010000047 (M-S-F2)
1715353443.888686 new key \033[1;4R: 0xa00010000048 (M-S-F3)
1715353443.888689 new key \033[2~: 0x10000052 (IC)
1715353443.888692 new key \033[3~: 0x10000053 (DC)
1715353443.888695 replacing key \033OH: 0x10000054 (Home)
1715353443.888698 replacing key \033OF: 0x10000055 (End)
1715353443.888701 new key \033[6~: 0x10000056 (NPage)
1715353443.888704 new key \033[5~: 0x10000057 (PPage)
1715353443.888707 new key \033[Z: 0x10000058 (BTab)
1715353443.888710 replacing key \033OA: 0x10000059 (Up)
1715353443.888713 replacing key \033OB: 0x1000005a (Down)
1715353443.888718 replacing key \033OD: 0x1000005b (Left)
1715353443.888721 replacing key \033OC: 0x1000005c (Right)
1715353443.888724 new key \033[3;2~: 0x1800010000053 (S-DC)
1715353443.888727 new key \033[3;3~: 0x1200010000053 (M-DC)
1715353443.888731 new key \033[3;4~: 0x1a00010000053 (M-S-DC)
1715353443.888734 new key \033[3;5~: 0x1400010000053 (C-DC)
1715353443.888736 new key \033[3;6~: 0x1c00010000053 (C-S-DC)
1715353443.888739 new key \033[3;7~: 0x1600010000053 (C-M-DC)
1715353443.888743 new key \033[1;2B: 0x1800010000059 (S-Up)
1715353443.888746 replacing key \033[1;2B: 0x180001000005a (S-Down)
1715353443.888749 new key \033[1;3B: 0x120001000005a (M-Down)
1715353443.888753 new key \033[1;4B: 0x1a0001000005a (M-S-Down)
1715353443.888756 new key \033[1;5B: 0x140001000005a (C-Down)
1715353443.888759 new key \033[1;6B: 0x1c0001000005a (C-S-Down)
1715353443.888762 new key \033[1;7B: 0x160001000005a (C-M-Down)
1715353443.888765 new key \033[1;2F: 0x1800010000055 (S-End)
1715353443.888768 new key \033[1;3F: 0x1200010000055 (M-End)
1715353443.888772 new key \033[1;4F: 0x1a00010000055 (M-S-End)
1715353443.888775 new key \033[1;5F: 0x1400010000055 (C-End)
1715353443.888778 new key \033[1;6F: 0x1c00010000055 (C-S-End)
1715353443.888781 new key \033[1;7F: 0x1600010000055 (C-M-End)
1715353443.888784 new key \033[1;2H: 0x1800010000054 (S-Home)
1715353443.888787 new key \033[1;3H: 0x1200010000054 (M-Home)
1715353443.888790 new key \033[1;4H: 0x1a00010000054 (M-S-Home)
1715353443.888793 new key \033[1;5H: 0x1400010000054 (C-Home)
1715353443.888796 new key \033[1;6H: 0x1c00010000054 (C-S-Home)
1715353443.888800 new key \033[1;7H: 0x1600010000054 (C-M-Home)
1715353443.888803 new key \033[2;2~: 0x1800010000052 (S-IC)
1715353443.888807 new key \033[2;3~: 0x1200010000052 (M-IC)
1715353443.888810 new key \033[2;4~: 0x1a00010000052 (M-S-IC)
1715353443.888813 new key \033[2;5~: 0x1400010000052 (C-IC)
1715353443.888816 new key \033[2;6~: 0x1c00010000052 (C-S-IC)
1715353443.888819 new key \033[2;7~: 0x1600010000052 (C-M-IC)
1715353443.888822 new key \033[1;2D: 0x180001000005b (S-Left)
1715353443.888826 new key \033[1;3D: 0x120001000005b (M-Left)
1715353443.888829 new key \033[1;4D: 0x1a0001000005b (M-S-Left)
1715353443.888832 new key \033[1;5D: 0x140001000005b (C-Left)
1715353443.888835 new key \033[1;6D: 0x1c0001000005b (C-S-Left)
1715353443.888837 new key \033[1;7D: 0x160001000005b (C-M-Left)
1715353443.888841 new key \033[6;2~: 0x1800010000056 (S-NPage)
1715353443.888845 new key \033[6;3~: 0x1200010000056 (M-NPage)
1715353443.888848 new key \033[6;4~: 0x1a00010000056 (M-S-NPage)
1715353443.888852 new key \033[6;5~: 0x1400010000056 (C-NPage)
1715353443.889511 new key \033[6;6~: 0x1c00010000056 (C-S-NPage)
1715353443.889929 new key \033[6;7~: 0x1600010000056 (C-M-NPage)
1715353443.890317 new key \033[5;2~: 0x1800010000057 (S-PPage)
1715353443.890756 new key \033[5;3~: 0x1200010000057 (M-PPage)
1715353443.890774 new key \033[5;4~: 0x1a00010000057 (M-S-PPage)
1715353443.890778 new key \033[5;5~: 0x1400010000057 (C-PPage)
1715353443.890781 new key \033[5;6~: 0x1c00010000057 (C-S-PPage)
1715353443.890784 new key \033[5;7~: 0x1600010000057 (C-M-PPage)
1715353443.890787 new key \033[1;2C: 0x180001000005c (S-Right)
1715353443.890790 new key \033[1;3C: 0x120001000005c (M-Right)
1715353443.890793 new key \033[1;4C: 0x1a0001000005c (M-S-Right)
1715353443.890796 new key \033[1;5C: 0x140001000005c (C-Right)
1715353443.890799 new key \033[1;6C: 0x1c0001000005c (C-S-Right)
1715353443.890803 new key \033[1;7C: 0x160001000005c (C-M-Right)
1715353443.890807 new key \033[1;2A: 0x1800010000059 (S-Up)
1715353443.890810 replacing key \033[1;2A: 0x1800010000059 (S-Up)
1715353443.890814 new key \033[1;3A: 0x1200010000059 (M-Up)
1715353443.890817 new key \033[1;4A: 0x1a00010000059 (M-S-Up)
1715353443.890820 new key \033[1;5A: 0x1400010000059 (C-Up)
1715353443.890823 new key \033[1;6A: 0x1c00010000059 (C-S-Up)
1715353443.890825 new key \033[1;7A: 0x1600010000059 (C-M-Up)
1715353443.890838 new session 0 $0
1715353443.890843 session 0 activity 1715353443.890841 (last 0.000000)
1715353443.890890 @0 alerts timer reset 0
1715353443.890893 @0 alerts flags added 0x2
1715353443.890901 window_add_pane: @0 at start
1715353443.890906 spawn: /bin/bash -- 
1715353443.890910 spawn: BROWSER=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/bin/helpers/browser.sh
1715353443.890913 spawn: COLORTERM=truecolor
1715353443.890916 spawn: CONDA_DEFAULT_ENV=medsegdiff
1715353443.890918 spawn: CONDA_EXE=/home/irteam/anaconda3/bin/conda
1715353443.890921 spawn: CONDA_PREFIX=/home/irteam/anaconda3/envs/medsegdiff
1715353443.890924 spawn: CONDA_PREFIX_1=/home/irteam/anaconda3
1715353443.890927 spawn: CONDA_PROMPT_MODIFIER=(medsegdiff) 
1715353443.890930 spawn: CONDA_PYTHON_EXE=/home/irteam/anaconda3/bin/python
1715353443.890932 spawn: CONDA_ROOT=/home/irteam/anaconda3
1715353443.890935 spawn: CONDA_SHLVL=2
1715353443.890937 spawn: CUDA_HOME=/usr/local/cuda-10.1
1715353443.890942 spawn: GIT_ASKPASS=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/extensions/git/dist/askpass.sh
1715353443.890944 spawn: HOME=/home/irteam
1715353443.890947 spawn: LANG=C.UTF-8
1715353443.890950 spawn: LANGUAGE=ko_KR:ko:en_GB:en
1715353443.890952 spawn: LESSCLOSE=/usr/bin/lesspipe %s %s
1715353443.890955 spawn: LESSOPEN=| /usr/bin/lesspipe %s
1715353443.890958 spawn: LOGNAME=irteam
1715353443.890984 spawn: LS_COLORS=rs=0:di=01;34:ln=01;36:mh=00:pi=40;33:so=01;35:do=01;35:bd=40;33;01:cd=40;33;01:or=40;31;01:mi=00:su=37;41:sg=30;43:ca=30;41:tw=30;42:ow=34;42:st=37;44:ex=01;32:*.tar=01;31:*.tgz=01;31:*.arc=01;31:*.arj=01;31:*.taz=01;31:*.lha=01;31:*.lz4=01;31:*.lzh=01;31:*.lzma=01;31:*.tlz=01;31:*.txz=01;31:*.tzo=01;31:*.t7z=01;31:*.zip=01;31:*.z=01;31:*.Z=01;31:*.dz=01;31:*.gz=01;31:*.lrz=01;31:*.lz=01;31:*.lzo=01;31:*.xz=01;31:*.zst=01;31:*.tzst=01;31:*.bz2=01;31:*.bz=01;31:*.tbz=01;31:*.tbz2=01;31:*.tz=01;31:*.deb=01;31:*.rpm=01;31:*.jar=01;31:*.war=01;31:*.ear=01;31:*.sar=01;31:*.rar=01;31:*.alz=01;31:*.ace=01;31:*.zoo=01;31:*.cpio=01;31:*.7z=01;31:*.rz=01;31:*.cab=01;31:*.wim=01;31:*.swm=01;31:*.dwm=01;31:*.esd=01;31:*.jpg=01;35:*.jpeg=01;35:*.mjpg=01;35:*.mjpeg=01;35:*.gif=01;35:*.bmp=01;35:*.pbm=01;35:*.pgm=01;35:*.ppm=01;35:*.tga=01;35:*.xbm=01;35:*.xpm=01;35:*.tif=01;35:*.tiff=01;35:*.png=01;35:*.svg=01;35:*.svgz=01;35:*.mng=01;35:*.pcx=01;35:*.mov=01;35:*.mpg=01;35:*.mpeg=01;35:*.m2v=01;35:*.mkv=01;35:*.webm=01;35:*.ogm=01;35:*.mp4=01;35:*.m4v=01;35:*.mp4v=01;35:*.vob=01;35:*.qt=01;35:*.nuv=01;35:*.wmv=01;35:*.asf=01;35:*.rm=01;35:*.rmvb=01;35:*.flc=01;35:*.avi=01;35:*.fli=01;35:*.flv=01;35:*.gl=01;35:*.dl=01;35:*.xcf=01;35:*.xwd=01;35:*.yuv=01;35:*.cgm=01;35:*.emf=01;35:*.ogv=01;35:*.ogx=01;35:*.aac=00;36:*.au=00;36:*.flac=00;36:*.m4a=00;36:*.mid=00;36:*.midi=00;36:*.mka=00;36:*.mp3=00;36:*.mpc=00;36:*.ogg=00;36:*.ra=00;36:*.wav=00;36:*.oga=00;36:*.opus=00;36:*.spx=00;36:*.xspf=00;36:
1715353443.890989 spawn: MAIL=/var/mail/irteam
1715353443.891006 spawn: PATH=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/bin/remote-cli:/home/irteam/.local/bin:/home/irteam/anaconda3/envs/medsegdiff/bin:/home/irteam/anaconda3/condabin:/usr/bin/python3.9:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/usr/bin/python3.9:/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/bin/remote-cli:/home/irteam/.local/bin:/home/irteam/anaconda3/bin:/home/irteam/anaconda3/condabin:/usr/bin/python3.9:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games:/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/bin/remote-cli:/home/irteam/.local/bin:/home/irteam/anaconda3/bin:/home/irteam/anaconda3/condabin:/usr/bin/python3.9:/usr/local/sbin:/usr/local/bin:/usr/sbin:/usr/bin:/sbin:/bin:/usr/games:/usr/local/games
1715353443.891014 spawn: PS1=\\[\033]633;A\a\\](medsegdiff) (base) \\[\\e]0;\\u@\\h: \\w\\a\\]${debian_chroot:+($debian_chroot)}\\[\\033[01;32m\\]\\u@\\h\\[\\033[00m\\]:\\[\\033[01;34m\\]\\w\\[\\033[00m\\]\\$ \\[\033]633;B\a\\]
1715353443.891021 spawn: PWD=/home/irteam/rkdtjdals97-dcloud-dir/MBC
1715353443.891024 spawn: SHELL=/bin/bash
1715353443.891027 spawn: SHLVL=4
1715353443.891031 spawn: SSH_CLIENT=210.94.221.133 61240 22
1715353443.891034 spawn: SSH_CONNECTION=210.94.221.133 61240 172.17.0.4 22
1715353443.891038 spawn: SSL_CERT_DIR=/usr/lib/ssl/certs
1715353443.891042 spawn: SSL_CERT_FILE=/usr/lib/ssl/certs/ca-certificates.crt
1715353443.891045 spawn: TERM=screen
1715353443.891049 spawn: TERM_PROGRAM=vscode
1715353443.891052 spawn: TERM_PROGRAM_VERSION=1.89.0
1715353443.891056 spawn: TMUX=/tmp/tmux-1000/default,3146062,0
1715353443.891059 spawn: USER=irteam
1715353443.891063 spawn: VSCODE_GIT_ASKPASS_EXTRA_ARGS=
1715353443.891069 spawn: VSCODE_GIT_ASKPASS_MAIN=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/extensions/git/dist/askpass-main.js
1715353443.891074 spawn: VSCODE_GIT_ASKPASS_NODE=/home/irteam/.vscode-server/cli/servers/Stable-b58957e67ee1e712cebf466b995adf4c5307b2bd/server/node
1715353443.891077 spawn: VSCODE_GIT_IPC_HANDLE=/tmp/vscode-git-9b20760d84.sock
1715353443.891081 spawn: VSCODE_IPC_HOOK_CLI=/tmp/vscode-ipc-4d7039c6-7e3b-4054-9acf-5958830efa22.sock
1715353443.891084 spawn: _=/usr/bin/tmux
1715353443.891086 spawn: _CE_CONDA=
1715353443.891088 spawn: _CE_M=
1715353443.893150 window_add_ref: @0 notify_add, now 1
1715353443.893172 window_add_ref: @0 winlink_set_window, now 2
1715353443.893203 cmd_find_from_session_window: s=$0
1715353443.893207 cmd_find_from_session_window: wl=0 1 w=@0 bash
1715353443.894017 cmd_find_from_session_window: wp=%0
1715353443.894020 cmd_find_from_session_window: idx=0
1715353443.894024 session_add_ref: 0 notify_add, now 2
1715353443.894027 window_add_ref: @0 notify_add, now 3
1715353443.894030 session_add_ref: 0 notify_add, now 3
1715353443.894036 @0 alerts timer reset 0
1715353443.894038 @0 alerts flags added 0x2
1715353443.894041 cmd_find_from_session: s=$0
1715353443.894044 cmd_find_from_session: wl=0 1 w=@0 bash
1715353443.894047 cmd_find_from_session: wp=%0
1715353443.894049 cmd_find_from_session: idx=none
1715353443.894052 session_add_ref: 0 notify_add, now 4
1715353443.894055 session_add_ref: 0 notify_add, now 5
1715353443.894058 session 0 created
1715353443.894062 cmd_find_from_session: s=$0
1715353443.894065 cmd_find_from_session: wl=0 1 w=@0 bash
1715353443.894068 cmd_find_from_session: wp=%0
1715353443.894071 cmd_find_from_session: idx=none
1715353443.894074 session_add_ref: 0 notify_add, now 6
1715353443.894076 session_add_ref: 0 notify_add, now 7
1715353443.894082 sending message 207 to peer 0x564c020cf680 (0 bytes)
1715353443.894090 client 0x564c020cee30, status interval 15
1715353443.894093 cmd_find_from_session: s=$0
1715353443.894096 cmd_find_from_session: wl=0 1 w=@0 bash
1715353443.894098 cmd_find_from_session: wp=%0
1715353443.894101 cmd_find_from_session: idx=none
1715353443.894104 session_add_ref: 0 notify_add, now 8
1715353443.894108 session 0 activity 1715353443.894107 (last 1715353443.890841)
1715353443.894127 cmd_find_from_session: s=$0
1715353443.894130 cmd_find_from_session: wl=0 1 w=@0 bash
1715353443.894133 cmd_find_from_session: wp=%0
1715353443.894136 cmd_find_from_session: idx=none
1715353443.894139 cmd_find_from_session: s=$0
1715353443.894141 cmd_find_from_session: wl=0 1 w=@0 bash
1715353443.894144 cmd_find_from_session: wp=%0
1715353443.894146 cmd_find_from_session: idx=none
1715353443.894150 unref client 0x564c020cee30 (4 references)
1715353443.894155 cmdq_next <0x564c020cee30>: callback[server_client_command_done] (1), flags 0
1715353443.894158 unref client 0x564c020cee30 (3 references)
1715353443.894161 cmdq_next <0x564c020cee30>: exit (empty)
1715353443.894164 cmdq_next <global>: enter
1715353443.894167 cmdq_next <global>: callback[notify_callback] (1), flags 0
1715353443.894170 notify_callback: window-pane-changed
1715353443.894173 cmd_find_from_nothing: s=$0
1715353443.894176 cmd_find_from_nothing: wl=0 1 w=@0 bash
1715353443.894178 cmd_find_from_nothing: wp=%0
1715353443.894183 cmd_find_from_nothing: idx=0
1715353443.894186 window_remove_ref: @0 notify_callback, now 2
1715353443.894190 cmdq_next <global>: callback[notify_callback] (1), flags 0
